,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.5,-157.2948778707197,-406.5083042691859,-308.960077202182,82.6590012468241,265.981451240224,167.02528093946592,46.35319285776054,4.973187389992199
-1.5 to -1.0,75.9176220690824,454.5343106342909,1151.8505745548646,1612.322285769023,1346.7522564479063,671.4034231735172,185.00354707091512,21.73863930989667
-1.0 to -0.5,-1.3622765563457195,-8.227828195071774,-35.024528911714114,-83.4076834421063,-118.19128582162804,-99.40967109732792,-45.947090012256695,-9.005541826511035
-0.5 to 0.0,-0.5828734321525288,-0.21385632871938204,-0.14132012575907144,-0.08790181436256325,-0.3058823515102012,-0.8069106308139169,-1.126497038691209,-0.6770450109936306
0.0 to 0.5,-0.5828724026609888,-0.2125881683361264,-0.14928710643015097,0.1740965218555625,-0.9290297294534637,2.6620580812535755,-3.7616674349685204,2.109580683759191
0.5 to 1.0,-0.583092873127669,-0.17463210873658638,-0.43054130831702747,0.9592637905733629,-1.6297008815106953,1.5765780298582823,-0.7970455767444263,0.16470457061985022
1.0 to 3.0,-0.5963012730792572,-0.15186199595355013,-0.2486676530490476,0.10721601975529885,-0.029431619578557586,0.0050703028953270005,-0.0005053683162807534,2.2633128538772872e-05
3.0 to 8.0,-0.4556912377433937,-0.4143294802241834,-0.03404913729313202,0.007450987131309408,-0.0009449745261741651,6.667633989912374e-05,-2.2077039376343936e-06,1.755447574446981e-08
