,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.5,0.5765495400892086,-11.841538167290977,-48.33714456514835,-73.63282375324687,-58.325555474778504,-25.718014367098164,-6.013732865600906,-0.5837602551407365
-1.5 to -1.0,-1.5820189963332687,-8.121722948848754,-24.075378830164954,-38.896664511246456,-36.84793094661242,-20.49344935433191,-6.212778263503671,-0.7941467097223134
-1.0 to -0.5,-0.5838404606537011,-0.6380190365156396,-1.7269012872468155,-3.8633593990841706,-5.637287344654539,-4.858952119571706,-2.2705667627563098,-0.4461430050008609
-0.5 to 0.0,-0.5496593983727648,-0.2784989151328095,-0.1278243709334099,0.03569739352748515,-0.016103405996504717,-0.09792359089328335,-0.12577584163437064,-0.07975408524368667
0.0 to 0.5,-0.5496597534541204,-0.2784556446629896,-0.12871603906561546,0.048769178012434966,-0.044475248433081024,0.11619589576961009,-0.1657554615602979,0.09062625095139111
0.5 to 1.0,-0.5490935886472844,-0.2837783614100631,-0.1067550398188524,-0.006997944699257682,0.06449244296541964,-0.05979136798721187,0.027078221529447437,-0.005113617197477446
1.0 to 3.0,-0.5495458421772239,-0.2780003759361706,-0.13239052078800276,0.05182627258140554,-0.014224240398779857,0.002664970262547717,-0.0003054583290600726,1.604423283047201e-05
3.0 to 8.0,-0.5027923768086567,-0.3669819448239985,-0.05646637533499811,0.013797166505589192,-0.0020766888282892407,0.00019109035742102945,-9.893452849764757e-06,2.2129617624048523e-07
