,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.5,-0.18200011432003332,0.9518317681581075,5.692634682239615,7.996513368295472,6.091945824599027,2.612236492789333,0.59644004525902,0.056640912099292284
-1.5 to -1.0,-0.3824943731312705,-1.5980699230728785,-1.69009613735091,-1.8418140023800182,-1.0315603206310193,-0.2737576221455003,-0.01369176237736187,0.005168903687526787
-1.0 to -0.5,-0.18342338872757824,-0.6081488094625654,0.45932930930927923,0.9243526993121284,1.4030643448082376,1.2575519995003848,0.6087550680424555,0.12333941429673667
-0.5 to 0.0,-0.19032732949469733,-0.6864398065129383,0.09023175010923555,-0.01839200630292527,-0.010220750398490575,0.016995007352544465,0.029746071054033225,0.020958029173874404
0.0 to 0.5,-0.1903270441417597,-0.6864543609620196,0.0910435676366571,-0.02319466265978152,0.022368869976735144,-0.07232473059267157,0.10359005619174319,-0.055688553303571794
0.5 to 1.0,-0.18912143312120624,-0.6982774114433291,0.139709979112588,-0.12948583902151892,0.14366491965635209,-0.11349939828223242,0.05052619320625403,-0.009545700960343415
1.0 to 3.0,-0.18961255957239065,-0.6905499502314497,0.10112036155172814,-0.03331227733633348,0.0072784145347256175,-0.0010365520869737882,8.713603735054368e-05,-3.2507554542800234e-06
3.0 to 8.0,-0.22372647304674526,-0.6305255230929856,0.055190828611516335,-0.013435331694274561,0.0020153469648126025,-0.00018488343352231058,9.546688259310362e-06,-2.1305041980292408e-07
