,a0,a1,a2,a3,a4,a5,a6,a7
-2.0 to -1.5,177.26506233325435,563.65071222028,707.8240397348297,422.123615924334,94.55248990053369,-18.545851186391463,-13.324685490425894,-1.8903096252012022
-1.5 to -1.0,-7.847178774407543,-54.40603938504404,-160.10556701757184,-252.8348045900301,-233.08892689181118,-126.13998201657935,-37.24930587542371,-4.643562912840571
-1.0 to -0.5,-0.0023403655226783295,4.119258709361721,19.238402419916333,46.68703276597928,66.59722927813095,56.272468563562406,26.11797779235977,5.139250177373677
-0.5 to 0.0,-0.4286889825484261,-0.301771768144194,-0.1500691613534797,0.07096722916199905,0.2684335439789338,0.5483065253444701,0.7385100313202534,0.4459436010052204
0.0 to 0.5,-0.4286896240420029,-0.30267716433529934,-0.14417411728530216,-0.11535119609214359,0.7209851675920518,-1.9066700198297466,2.6659050112291234,-1.4991673090376827
0.5 to 1.0,-0.4298642462113182,-0.32052701376770076,0.0331869523169534,-0.6553971527691452,1.2380512468247273,-1.182673330965834,0.5890775301083759,-0.12061607305283051
1.0 to 3.0,-0.4362504630756861,-0.25817293985949286,-0.2635624522126807,0.15167497245322784,-0.05202019711098461,0.010731647359821461,-0.0012298459413401471,5.991289614751361e-05
3.0 to 8.0,-0.3227946186703343,-0.5211977616835474,0.0010869615075552131,0.0018922207528103375,-0.0006381490082289604,9.347819531196815e-05,-6.74115821523054e-06,1.953776547093313e-07
